,mean_tem,min_tem,max_tem,mean_mintem,mean_maxtem,mean_seapre,sum_rain,daymax_rain,mean_humi,sum_suntime,per_suntime,mean_wind,per_tourist
0,13.8,-9.0,36.1,9.6,18.0,1015.2,1355.5,203.7,60.6,2543.1,57.11,1.9,13.6
1,11.7,-15.1,36.5,5.8,18.3,1016.6,931.8,85.7,68.6,2368.7,53.18,1.2,13.6
2,11.1,-17.1,35.1,5.0,17.5,1016.8,920.5,105.4,73.7,2754.5,61.99,1.2,13.6
3,12.0,-13.4,35.8,6.6,18.4,1017.0,1028.1,129.6,68.6,2563.3,57.55,1.4,17.4
4,11.3,-16.1,34.7,5.5,17.7,1017.0,1022.4,171.9,73.6,2532.7,56.86,1.3,17.4
5,8.1,-20.1,30.2,2.7,13.6,1016.5,1198.5,118.0,74.2,2590.2,58.14,2.9,13.6
6,12.3,-14.1,36.3,7.1,18.3,1016.6,923.2,72.0,68.3,2348.8,52.73,1.3,13.6
7,12.0,-9.3,31.2,9.3,15.3,1015.5,595.4,81.8,75.0,2386.5,53.58,4.0,4.9
8,13.6,-7.6,34.5,9.4,17.9,1015.0,1569.7,252.3,59.7,2458.2,55.18,1.7,13.6
9,14.7,-6.2,36.4,10.7,19.4,1015.5,1670.5,310.0,56.5,2559.8,57.46,2.4,13.6
10,13.4,-6.0,33.5,9.6,17.4,1015.3,1532.8,231.4,62.8,2400.6,54.24,2.0,13.6
11,13.5,-10.9,36.8,9.3,18.5,1016.3,891.3,63.2,56.8,2542.2,57.24,2.0,8.2
12,13.2,-10.4,36.0,9.9,17.1,1016.4,919.5,88.8,65.2,2672.9,60.01,2.9,4.9
13,13.0,-11.3,35.9,8.1,18.3,1016.3,771.9,54.8,59.5,2359.3,52.99,1.0,13.6
14,13.7,-2.9,32.7,11.1,16.8,1015.3,1367.4,147.4,68.4,2371.6,53.41,3.9,9.9
15,13.2,-10.8,36.5,8.2,18.8,1016.7,915.8,108.0,69.7,2475.0,55.76,1.8,17.4
16,12.1,-13.4,36.9,6.6,18.7,1016.5,830.4,76.4,67.8,2117.2,47.55,1.1,13.6
17,12.3,-13.2,35.5,6.7,18.6,1016.8,795.5,60.6,67.8,2261.9,50.79,1.3,4.9
18,12.7,-10.9,36.3,7.6,18.3,1016.8,915.0,71.0,72.3,2491.2,56.63,1.8,9.4
19,13.9,-5.4,35.8,9.6,18.7,1015.6,1581.2,332.9,66.4,2529.2,56.96,2.5,9.9
20,14.2,-8.6,36.7,9.7,19.3,1016.5,856.7,97.7,61.2,2432.2,54.62,1.3,4.9
21,14.0,-9.6,36.0,9.2,19.5,1016.9,984.2,82.5,68.8,2474.3,55.76,1.4,3.0
22,12.4,-11.2,33.8,7.1,17.9,1016.7,1164.1,149.3,62.7,2549.1,57.8,2.6,4.9
23,12.9,-11.6,36.9,7.4,18.9,1016.6,867.8,94.4,65.3,2550.3,57.41,1.5,9.9
24,13.4,-8.7,35.2,8.3,19.2,1016.5,1062.5,132.2,66.7,2310.5,52.23,1.4,9.9
25,15.5,-5.1,36.5,11.8,19.8,1016.1,1425.1,309.2,64.0,2539.3,57.05,2.6,9.9
26,13.5,-8.1,34.9,9.3,18.4,1016.7,1008.1,83.0,75.2,2478.0,55.66,2.3,7.5
27,14.8,-7.2,36.9,9.9,20.3,1016.1,995.7,104.5,60.7,2440.5,55.11,2.0,2.6
28,14.2,-7.5,35.1,9.7,19.5,1016.5,968.9,70.0,74.1,2319.3,52.11,1.6,7.5
29,14.9,-5.3,35.0,10.7,19.7,1015.7,1450.1,173.1,65.9,2605.8,58.54,2.1,9.8
30,14.6,-5.9,35.6,10.5,19.7,1015.8,1587.0,210.9,62.1,2416.5,55.24,1.6,9.7
31,14.7,-5.9,34.8,10.5,20.0,1016.6,1085.9,88.1,69.2,2290.1,51.47,1.5,1.7
32,15.7,-4.4,35.0,12.5,19.8,1015.7,1623.2,172.2,62.9,2691.3,60.48,3.1,6.3
33,15.3,-4.2,35.9,11.6,19.8,1016.1,1684.6,170.1,69.0,2416.0,54.95,2.3,9.7
34,14.3,-4.1,33.8,11.1,18.2,1016.6,1248.4,107.0,72.3,2390.7,53.73,3.4,9.4
35,15.4,-4.8,33.9,12.5,19.0,1015.8,1529.9,133.2,67.5,2556.9,57.45,3.8,9.4
36,14.1,-1.2,29.9,11.7,17.4,1016.3,1079.1,92.5,77.3,2104.4,47.56,5.0,9.4
37,15.0,-4.1,33.5,11.3,19.5,1016.3,1678.8,155.6,71.2,2144.4,48.62,2.3,9.4
38,13.4,-8.3,35.1,8.6,18.9,1016.9,1099.5,81.9,76.1,2318.1,52.09,2.4,7.5
39,13.1,-8.5,33.8,7.9,19.3,1016.0,1568.2,194.0,74.4,2254.8,50.68,1.9,9.4
40,12.9,-7.6,32.6,7.7,18.7,1016.2,787.2,106.0,74.2,1345.5,48.76,1.6,9.4
41,12.7,-10.9,34.7,7.5,18.3,1016.4,922.3,132.8,74.0,2436.5,54.72,1.4,9.4
42,16.8,1.0,35.4,14.2,19.9,1016.5,1979.9,187.7,69.8,1909.9,42.93,3.0,4.2
43,16.2,1.3,32.9,13.7,19.2,1015.9,1560.9,109.9,78.3,2236.0,50.27,5.4,4.2
44,16.1,-0.7,32.5,12.5,19.8,1016.2,2658.1,262.7,70.9,2187.6,49.18,3.1,4.2
45,17.3,2.0,32.2,14.4,20.5,1015.5,2210.3,197.3,77.9,2239.9,50.35,1.8,4.2
46,13.9,-10.1,35.7,8.3,20.5,1016.2,1481.6,139.6,69.3,2620.9,58.89,1.0,9.7
