"0. 귀하의 연령대가 어떻게 되나요?","1. 귀하는 어떤 여행을 선호 하는 편인가요?","2. 국내여행 혹은 해외여행을 더 선호하시는 이유는 무엇인가요?","3. 귀하는 여행의 목적은 무엇인가요?","4. 여행가기전 정보조사를 어느 매체를 통해 하십니까?","5. 귀하는 국내여행을 간다면 어디로 가시겠습니까?","6. 위에 고르신 지역 중 구체적으로 어디 여행을 하고싶은지 적어주세요","7. 귀하가 충청권(충청북도, 충청남도, 대전, 세종)을 고르지 않으신 이유는?","8.  충청권(충청북도, 충청남도, 대전, 세종)의 여행지로서 이미지는 어떤가요?","9. 충청권(충청북도, 충청남도, 대전, 세종) 여행을 해보신 적이 있으면 아쉬웠던점 적어주세요"
"20대","해외여행","","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	책	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","대구 부산","즐길거리가 부족해서	관광지가 부족해서","너무 4050나이대의 사람들에게만 초점이 맞춰진 관광ㅈ, 행사들이 많다. 그리고 대전 엑스포 폐쇄와 더불어 세종시의 행정적 기능때문에 관광으로서의 기능이 상대적으로떨어져서 별로다",""
"20대","해외여행","","맛집탐방	쇼핑	관광지	관광지가 1차적으로 사람을 모이게 한다면 맛집이 사람들을 다시 방문하게 하거나 더 많이 방문하게 하는것 같습니다.","블로그	카페	여행사 사이트","경상도 지역(ex. 부산, 대구, 포항 등)","부산, 제주도","맛집 탐방할 곳이 없는거 같아서	충청권에 대한 정보부족	가장 큰 이유는 정보부족인 것 같습니다. 충청권에 놀러가면 뭘 할 수 있는지 뭐가 유명한지 아는게 별로 없어서 여행을 가야겠다는 생각을 안해본 것 같습니다.","아주 유명한 관광지가 한개라도 생겨서 사람들이 찾다보면 여행지로서의 인식이 생기겠지만 현재로써는 여행지의 이미지는 거의 없는 것 같습니다.",""
"20대","국내여행","해외여행이 국내와는 다르게 새로운 문화를 접할 수 있어서 ","즐길거리(카페 및 놀거리 등)	쇼핑	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	책","전라도 지역(ex. 전주, 여수, 순천 등)","저는 주녕이랑 여수요 ♥","즐길거리가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","노잼도시..","여행을 해본 적이 없떠요!"
"20대","해외여행","이국적인 느낌이 좋아서","맛집탐방	즐길거리(카페 및 놀거리 등)	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그","제주도","시장","즐길거리가 부족해서","놀게없다",""
"20대","해외여행","경치가 예뻐서","자연(강,바다,산,호수)","블로그","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서","바다가 없다",""
"20대","국내여행","없음","맛집탐방	즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)","강원도 지역(ex. 속초, 양양, 강릉 등)","강릉","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서	충청권에 대한 정보부족","재미가 없고 놀거리가 없다.",""
"20대","해외여행","새로운 경험을 할 수 있어서","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","카페	지인 추천","경상도 지역(ex. 부산, 대구, 포항 등)","부산","관광지가 부족해서	휴양하기에 적합하지 않아서","노잼도시",""
"20대","국내여행","국내여행이 뭔가 더 정이감","맛집탐방	즐길거리(카페 및 놀거리 등)	쇼핑	관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천	여행사 사이트","제주도","푸른 바다보고싶다","즐길거리가 부족해서	관광지가 부족해서","여행지로서는 그냥 맛집?",""
"20대","국내여행","가성비","즐길거리(카페 및 놀거리 등)	휴양(호캉스 포함)","SNS(페이스북, 인스타그램)	블로그	카페	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","태백, 정선 등 숲이 많은 곳","즐길거리가 부족해서	관광지가 부족해서	휴양하기에 적합하지 않아서","노잼",""
"20대","해외여행","국내에서 느끼지 못하는 점을 느낄 수 있어서","관광지	휴양(호캉스 포함)	자연(강,바다,산,호수)","SNS(페이스북, 인스타그램)	블로그	지인 추천","강원도 지역(ex. 속초, 양양, 강릉 등)","동해바다","휴양하기에 적합하지 않아서","서울과 가까우며 볼게 없다",""
