,대구 부산
0,"부산, 제주도"
1,여수
2,시장
3,강릉
4,강릉
5,부산
6,푸른 바다보고싶다
7,"태백, 정선 등 숲이 많은 곳"
8,동해바다
9,성산일출봉이랑 포방터돈까스 먹구시퍼여ㅠㅠ 그리고 유채꽃밭에서 인생샷찍고싶어요 또 귤모자쓰고 귤포토존에서 사진찍구 면세점에서 2차로 여행을 즐기겠어요.
10,대구
11,강릉
12,부산
13,부산 또는 해안도로
14,제주 서부 (한림)
15,애월
16,강릉 바다
17,여수
18,가평
19,가깝습니다
20,속초
21,강릉
22,여수
23,평택
24,제주도
25,강원도 양양
26,부산
27,부산
28,대전
29,올레길
30,서귀포시
31,경주
32,강릉 
33,강릉
34,요즘 핫한 양양 
35,제주시
36,부산 광안리에 가고싶네욤
37,서귀포를 가보고싶습니다.
38,제주도를 한번도 안가봐서 그냥 두루두루 돌아다니고싶음
39,강릉 맛집이많대서
40,바다
41,가평 빠지
42,세부
43,양양 서피비치 ~~~
44,담양
45,"본래 서울에는 없는 다른 분위기가 있는곳 ex)바다,분위기등"
46,부산이요 부산음식이 제입맛에 맞는게 많습니다
47,부산과 대구로 즐길거리 탐방.
48,부산 경포대에서 구수한 사투리를 느끼고싶어요
49,서귀포시
50,전라도 밥상 먹고싶어요..
51,포항
52,다 !
53,여수
54,부산
55,양양
56,부산
57,서귀포
58,여수
59,부산 ~~젊음의 도시 유후
60,강원도 양양
61,경주! 유적지위주로 가보고싶어요!
62,"우도 여행, 제주에서도 이색적인 관광지로 소문난 곳이 가고 싶습니다 : )"
63,"부산에 가 탁트인 바다와 시끌벅적한 번화가, 유명한 맛집 모두 즐기고 싶다."
64,부산시장과 해운대
65,여수 
66,속초
67,제주도
68,강릉
69,해수욕장
70,여수
71,양양
72,부산
73,여수
74,제주도
75,강릉
76,애월읍
77,busan
78,속초
79,거제도 .남해
80,거제도 .남해
81,"바닷가, 도심"
82,여수
83,부산
84,제주도 전체 다
85,속초
86,양양횡성
87,동해 바다 쭉 훑고 싶어요
88,제주도 어디든
89,제주도
90,강릉
91,바평
92,전체
93,속초
94,여수순천
95,파주 도토리전이 맛있습니다
96,"성산, 함덕"
97,한라산 .. 올레길 ..많은 카페 ..아름다운 자연환경
98,순천
99,속초
100,부산
101,동해
102,제주도
103,바닷가쪽으로 가고싶어요!
104,가평
105,해안가
106,강릉 경포대
107,서울은 여기저기 볼게 많으니까?
108,부산
109,동해 !
110,속초 바닷가
111,속초
112,부산
113,제주도 해변이자너~
114,강원전역골고루..가까와니까..
115,여수
116,부산 해운대
117,제주도 방방곳곳 하루살기
118,전주
119,바닷가
120,드 넓은 산을 보고싶습니다
121,동해바다
122,애월 바다
123,광안리 서면
124,부산
125,여수
126,속초
127,제주도 맛집 탐방
128,양양! 그냥 깨끗한 동해바다가 보고싶어요
129,부산 ( 워낙 여행지로 유명하기 때문에 )
130,제주도_우도 가고싶다
131,양양
132,강릉
133,애월쪽
134,여수 및 거제 지역 해상 레저가 잘 되어있고 먹거리가 맛있다길래 다녀오고 싶습니다.
135,경복궁
136,경주
137,부산 해운대 
138,"강릉, 속초, 춘천"
139,강릉
140,부산
141,제주도
142,애월쪽 카페 
143,양양(예: 서피비치)
144,속초 삼척 등등
145,부산이용
146,제주
147,바다인접
148,"상주, 문경, 단양, 영주"
149,섬
150,부산
151,양양 고성
152,강릉
153,우도
154,여수 
155,가평 남이섬
156,백화점 
157,전주 
158,청주 
159,애월 
160,부산 해운대 
161,제주신라호텔에서 호캉스 
162,제주 한라산
163,대전 
164,"여수, 남해"
165,제주도 해안..
166,"강릉, 속초"
