,해외여행이 국내와는 다르게 새로운 문화를 접할 수 있어서 
0,이국적인 느낌이 좋아서
1,경치가 예뻐서
2,없음
3,새로운 경험을 할 수 있어서
4,국내여행이 뭔가 더 정이감
5,가성비
6,국내에서 느끼지 못하는 점을 느낄 수 있어서
7,다른나라의 문화를 경험해볼 수 있어서 잼써영 그리구 저는 휴양지를 선호하는데 우리나라에선 휴양을 위한 여행지는 별로 없다고 생각합니다 휴양지는 뭐니뭐니해도 발리 하와이~!
8,국내에도 숨은 명소가 많다. 한국스러운 감성과 아름다움을 느낄 수 있다.
9,새로움
10,새로운 문화 경험
11,부담없이 다녀올수 있어서
12,가깝고 즉흥적 여행이 가능하다.
13,새롭누
14,한국에 의외로 볼 게 많아요 그러고 해외 갈 돈이 없습니다!
15,해외경험이 없어서 두려움
16,없음
17,흔치 않기 때문
18,급여행 떠나기 좋아요
19,국내여행은 언제든 갈수있기때문에 젊을때 다양한 경험을 할 수 있는 해외여행을 선호
20,오고 가는 시간과 과정이 힘들어서
21,비행기타고 나가는게 좋아서
22,국내가 더 편함
23,국내와는 색다른 매력
24,저렴이 가성비 !
25,색다른 분위기/현지 음식
26,해외보다 가기 편리해요
27,뭔가 다른 정서를 체엄할수 있어서
28,비행기 떨레요
29,"국내여행을 하는 것보다 해외여행을 하는게 직접적, 간접적으로 얻을 것이 더 많고 많은 문화를 체험하면서 생각의 폭을 넓힐 수 있어서 해외여행을 더 선호합니다."
30,우리나라에서는 경험할 수 없는 다양한 문화나 볼거리가 있음
31,해외여행은 비용이 많이 들어서
32,국내는 다 가본거 같고 국내여행비나 해외여행비나 비슷해서 그럴바엔 해외를 간다 
33,해외여행에 비해 비용과 시간이 더 절약되고 익숙한 환경이기 때문에
34,여러곳을 경험해보고 싶어서욤
35,해외에 나가면 다양한사람들과 교류를 할수있고 대한민국에 없는 세계 명소들을 가볼수있어서 해외여행을 더 선호하는 편입니다.
36,국내를 많이 돌아보지 못했기 때문에
37,"국내보다 새롭고, 비행기타는게 좋고, 좀더 호화롭게 여행해서"
38,가깝다
39,비행기를 타고 다른나라에 간다는것 자체가 좋음
40,"새로운 언어, 문화, 경험"
41,외국 정서를 몸소 느끼는게 좋아서
42,짧은시간에 다녀올 수 있어서
43,"다른 문화(음식,관광지등)"
44,멀리여행갔다오면 앓아누워서요
45,우리나라에선 볼 수 없는 색다른 경험을 하는것이 좋기 때문.
46,제가 느끼지 못한 분위기를 더 느낄 수 있어서에요!
47,인생의 시간을 늦추기 위해 새로운 환경이 필요하기 때문.
48,말 잘 통해서
49,계획을 짜고 이행하기에 해외보다 저렴하고 수월해서
50,한번도안가봐서ㅠ
51,짧게 갔다오기 편해서
52,아직 나이가 어려서 돈이 많지 않아 국내라도 여행하고 싶어서
53,"이국적인면모를 많이 경험할 수 있고, 주변 눈치 안보고 맘껏 놀수있음. 일탈의 느낌이 강함."
54,다양한 볼거리 새로운 경험과 문화
55,지금 생활하는 곳과 많이 달라서
56,새로운것을 경험할수있다 
57,해외는 우리가 평소에 보지못한 다양한 것을 경험하고 볼 수 있기때문
58,새로워서
59,한국과는 다른 문화를 경험할수있어서요!
60,이색적인 문화를 느끼며 일상과 분리된 특별한 여행만의 분위기를 만끽할 수 있기 때문
61,"국내여행이 비용적, 심리적 부담이 덜 들고 상대적으로 빠르게 계획을 잡고 다녀올 수 있으며 만족감이 적을 수 있지만 다른 지역에서 오래된 친구를 만나는 등 추억을 회상할 수 있다."
62,색다른 경험을 하기위해
63,국내에 아직 못가본 곳이 많아서
64,문화
65,외국 차별 심함
66,해외에 비해 비교적 가까운 거리
67,없음
68,저렴해서
69,좀 더 여행가는 기분이 들어서
70,돈없음
71,편해서-계획없이 갈수있어서
72,여행가기가 쉽고 국내도 좋은곳이 많아서
73,이국적
74,새로운 풍경을 보고싶음
75,색다른 기분 so good
76,바로 떠날수있어서
77,가기 편하고 아직 못 가본국내  곳곳을 가보고  싶어서
78,가기 편하고 아직 못 가본국내  곳곳을 가보고  싶어서
79,해외여행이 더 새롭게 느껴지기 때문!
80,완전히 다른 문화
81,국내보다 새로운 경험을 할 수 있어서
82,해외에 더 예쁜 곳이 많아서
83,국내도 좋지만 여행이란 단어에 더욱 근접한건 해외
84,없음
85,국내는 어렸을 때부터 너무 많이 다녀서 새로운 곳을 가보고 싶어서요 국내도 싫어하진 않지만 가끔 너무 그냥 집 같아서... 새로운 해외가 좋아요
86,정보도 많고 말도 잘통하고 가기 쉬우니까
87,새로운 문화 음식 사람들을 만나다보면 여러가지로 도움이 되요
88,해외여행은 교통비가... 너무 많이들어요 + 언어의 장벽
89,국내에 비해 해외에 대한 정보가 부족하기 때문에 제대로 즐기기가 힘듦
90,국내갈바에 해외감
91,더 다양한 관광지와 분위기
92,없음
93,한국은 별 볼게 없습니다
94,비행기 타고 떠나는게 좋아요..
95,다른 문화..다른 환경..다른 음식..
96,국내는 서울이 볼거 젤 많다
97,낯선 환경에서 이색적인 문화를 감상하는것이 좋아서
98,"빠른 인터넷, 소매치기로부터 안전"
99,새로운 경험과 이질적 볼거리
100,더 많은 것을 보고 느낄 수 있어서
101,국내부터 가보고 해외 가고싶어요!!
102,가본 적 없어서
103,신선해서
104,"다양한 체험, 다양한 사람, 색다른 환경"
105,말이 통해서 좋아하는데 개새끼들은 못알아듣는거 똑같음
106,국내와 해외는 분위기가 달라서
107,한국에서 보지 못하는 새로운 풍경이 좋아서
108,새로운 경험
109,비용이 적게들고 여유롭게 볼수있다
110,국내에도 볼 것이 많고 해외는 비싸기 때문에
111,해외는 비싸자너~~
112,시간편리
113,체력이 좋을 때 해외를 많이 다녀둬야한다고 생각한다
114,새로운 문화
