지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),평균 풍속(m/s),최다 풍향(16방위)
90,속초,2015,12.6,-10.4,20150209,35.4,20150731,8.8,16.6,1015.7,1127.7,114.5,67.5,2413.6,2.1,290
90,속초,2016,12.8,-16.4,20160124,35.9,20160813,9,16.8,1015.5,1333.8,206.4,68.4,2205.3,1.9,290
90,속초,2017,13.1,-11.2,20170123,34.9,20170721,8.9,17.4,1015.1,1208.2,89.4,61.6,2497.9,1.8,290
90,속초,2018,12.6,-16.2,20180125,38.7,20180805,8.5,16.9,1015.8,1777,226.2,61.7,2421.1,1.9,290
90,속초,2019,13.8,-9,20190116,36.1,20190723,9.6,18,1015.2,1355.5,203.7,60.6,2543.1,1.9,270
93,북춘천,2016,,-12.1,20161216,29,20161003,,,,208.4,49,,475,,230
93,북춘천,2017,11.3,-19,20171213,37.5,20170805,5.3,18.1,1016.6,1133.4,146.5,66.3,2503.1,1.3,230
93,북춘천,2018,11.2,-21.7,20180127,40.6,20180801,5.3,17.9,1017,1261.9,189.5,65.6,2542,1.4,200
93,북춘천,2019,11.7,-15.1,20190103,36.5,20190805,5.8,18.3,1016.6,931.8,85.7,68.6,2368.7,1.2,200
95,철원,2015,11.1,-18.1,20150209,35.6,20150711,5.2,17.5,1016.6,1094.9,134,66.7,2625.1,1.6,200
95,철원,2016,11.2,-20.6,20160120,34.3,20160812,5.5,17.4,1016.6,1180.9,154.2,67.3,2356.9,1.5,200
95,철원,2017,10.5,-18.8,20171213,33.8,20170803,4.5,16.8,1016.8,1233.4,117.9,65.8,2379.7,1.5,200
95,철원,2018,10.4,-25.2,20180126,38.4,20180801,4.6,16.7,1017.4,1480.6,384.3,69.1,2506.1,1.7,200
95,철원,2019,11.1,-17.1,20190109,35.1,20190806,5,17.5,1016.8,920.5,105.4,73.7,2754.5,1.2,200
98,동두천,2015,12.4,-14.3,20150209,35.7,20150711,7.1,19,1016.1,988.5,105.8,62,2483.1,1.6,20
98,동두천,2016,12.6,-19.3,20160124,35.7,20160811,7.3,19.3,1016.1,1087.2,162.1,61,2412.1,1.6,20
98,동두천,2017,11.8,-16.6,20171213,35.9,20170805,6.4,18.6,1016.6,989.7,93,60.7,2446.4,1.7,20
98,동두천,2018,11.7,-20.4,20180127,38.7,20180801,6.4,18.4,1017.4,1500,279.6,61,2590.3,1.6,20
98,동두천,2019,12,-13.4,20191206,35.8,20190706,6.6,18.4,1017,1028.1,129.6,68.6,2563.3,1.4,20
99,파주,2015,11.6,-16.4,20150209,35,20150711,5.9,18.2,1016.6,716.2,72.2,66,2623,1.6,50
99,파주,2016,11.7,-20,20160124,35,20160811,6.2,18.2,1016.7,1163.9,164.6,68.2,2555.7,1.6,20
99,파주,2017,10.5,-18.8,20171213,34.9,20170803,4.7,17.2,1016.8,947.8,87.7,70.9,2568.4,1.4,50
99,파주,2018,10.5,-23.5,20180127,37.6,20180801,4.9,17.1,1017.3,1009.5,73,73,2592.8,1.5,50
99,파주,2019,11.3,-16.1,20190102,34.7,20190811,5.5,17.7,1017,1022.4,171.9,73.6,2532.7,1.3,90
100,대관령,2015,8,-19.8,20150108,30,20150806,2.7,13.4,1016.4,981.9,201.5,72.5,2570.8,3.3,270
100,대관령,2016,8.1,-23,20160124,32.4,20160812,2.9,13.5,1016.4,1184,152.5,72.9,2719.4,3.4,270
100,대관령,2017,7.3,-21.1,20170125,31.1,20170719,2,12.5,1016.4,1025.3,132.1,71.3,2909,3.5,270
100,대관령,2018,7.2,-24.4,20180127,32.9,20180722,2,12.5,1017,1731.4,81.5,71.9,2661,3.5,270
100,대관령,2019,8.1,-20.1,20190109,30.2,20190804,2.7,13.6,1016.5,1198.5,118,74.2,2590.2,2.9,270
101,춘천,2015,12.5,-15.7,20150209,35.9,20150807,7.3,18.4,1016.7,757.8,58.6,69.8,2404.6,1.4,360
101,춘천,2016,12.4,-20.1,20160124,35.7,20160812,7.4,18.2,1016.7,1333.8,241.6,70.8,2321.5,1.3,360
101,춘천,2017,11.7,-17.6,20171212,36.3,20170805,6.4,17.6,1016.7,1217.2,124.3,70.3,2387.3,1.4,360
101,춘천,2018,11.6,-21.6,20180126,39.5,20180801,6.4,17.6,1017.2,1401.5,170.7,69.2,2480.3,1.5,360
101,춘천,2019,12.3,-14.1,20190109,36.3,20190805,7.1,18.3,1016.6,923.2,72,68.3,2348.8,1.3,340
102,백령도,2015,11.9,-11.5,20150208,30.2,20150807,9.4,15.1,1016.5,601.5,142.5,68.7,2490.9,4.1,290
102,백령도,2016,11.9,-14.2,20160123,31.5,20160807,9.4,15,1016.5,734,52.7,72.2,2266.4,3.8,290
102,백령도,2017,11.8,-7.4,20171211,31.8,20170721,9.3,15,1016.8,335.1,44.2,71.6,2459.2,4,290
102,백령도,2018,11,-13.7,20180126,32.8,20180816,8.3,14.1,1016.2,831.1,94.1,74.2,2219,3.9,320
102,백령도,2019,12,-9.3,20190208,31.2,20190810,9.3,15.3,1015.5,595.4,81.8,75,2386.5,4,340
104,북강릉,2015,13.1,-11.8,20150209,36.1,20150730,8.8,17.6,1015.6,1017.5,155,59.6,2418.5,1.9,180
104,북강릉,2016,13.1,-15.2,20160124,34.9,20160814,9.1,17.4,1015.5,1204.2,97.9,67.1,2231.4,1.7,160
104,북강릉,2017,13.1,-10.7,20170123,33.9,20170713,8.8,17.3,1015.1,1172.4,97.2,62.8,2505.8,1.8,160
104,북강릉,2018,12.7,-15.9,20180126,37.1,20180805,8.5,16.9,1015.8,1548.1,204.8,61.4,2461.6,1.8,160
104,북강릉,2019,13.6,-7.6,20190116,34.5,20190723,9.4,17.9,1015,1569.7,252.3,59.7,2458.2,1.7,160
105,강릉,2015,13.9,-9.7,20150209,36.8,20150804,10,18.2,1015.8,1047.4,155.5,56.7,2453,2.3,320
105,강릉,2016,13.8,-14.7,20160124,35.5,20160813,10,18.1,1015.7,1258.2,96,57.4,2409.4,2.3,290
105,강릉,2017,13.9,-9.6,20170123,37.1,20170713,9.9,18.3,1015.3,1081.9,95.5,52.2,2636,2.5,320
105,강릉,2018,13.7,-14.2,20180124,38.2,20180804,9.8,18,1016,1599.4,200,55.8,2582.5,2.4,250
105,강릉,2019,14.7,-6.2,20190109,36.4,20190801,10.7,19.4,1015.5,1670.5,310,56.5,2559.8,2.4,230
106,동해,2015,13.8,-8.8,20150209,36.6,20150805,10.1,18,1015.6,911.2,130,63.3,2265.4,2.5,200
106,동해,2016,14.2,-12,20160124,34.5,20160813,10.6,18,1015.5,924.5,122.9,67.1,2238.5,2,230
106,동해,2017,14.1,-7.5,20171217,33.8,20170711,10.2,18,1015.1,985.7,125.8,62.1,2502.3,2.1,200
106,동해,2018,13.2,-12.4,20180126,35.8,20180805,9.4,17.1,1015.8,1436.5,139.9,62.8,2416.4,2.1,230
106,동해,2019,13.4,-6,20190116,33.5,20190731,9.6,17.4,1015.3,1532.8,231.4,62.8,2400.6,2,250
108,서울,2015,13.6,-13,20150209,36,20150711,9.3,18.7,1016.4,792.1,80,60,2580.3,2.7,270
108,서울,2016,13.6,-18,20160124,36.6,20160821,9.4,18.5,1016.4,991.7,108.5,59.2,2497.8,2.3,270
108,서울,2017,13,-12.6,20170123,35.4,20170725,8.8,18.1,1016.6,1233.2,144.5,57.8,2606.3,2.2,270
108,서울,2018,12.9,-17.8,20180126,39.6,20180801,8.8,17.9,1016.9,1284.1,96.5,57.5,2580.7,1.7,290
108,서울,2019,13.5,-10.9,20191231,36.8,20190806,9.3,18.5,1016.3,891.3,63.2,56.8,2542.2,2,290
112,인천,2015,13.1,-11.2,20150208,33.1,20150807,9.9,17,1016.6,652,41.6,78.6,2671.4,3.1,340
112,인천,2016,13.3,-16.3,20160124,34,20160821,10,17.1,1016.7,864.3,107,75.6,2594.7,3.1,340
112,인천,2017,12.5,-11.1,20171212,34,20170805,9.3,16.3,1016.6,1028.9,103.4,66,2751.8,3.1,340
112,인천,2018,12.5,-17.1,20180126,35.9,20180801,9.2,16.3,1016.8,1134.4,127.3,65.3,2715.5,3.1,340
112,인천,2019,13.2,-10.4,20190208,36,20190810,9.9,17.1,1016.4,919.5,88.8,65.2,2672.9,2.9,340
114,원주,2015,13.6,-13.1,20150209,37,20150807,8.6,19.1,1016.2,903.8,89.5,65.6,2593.2,1.4,250
114,원주,2016,13.4,-15.9,20160124,35.7,20160820,8.8,18.5,1016.2,874.6,111.9,60.8,2093,1.1,250
114,원주,2017,12.1,-15.2,20170124,34.8,20170805,7.3,17.3,1016.4,1063.6,81.2,59.6,2193.9,1,250
114,원주,2018,12.4,-17.4,20180127,38.8,20180815,7.7,17.7,1016.7,1229.2,114.6,59.9,2413.9,1.1,250
114,원주,2019,13,-11.3,20190103,35.9,20190810,8.1,18.3,1016.3,771.9,54.8,59.5,2359.3,1,250
115,울릉도,2015,13.1,-6.9,20150209,33.7,20150731,10.6,16.2,1015.5,1393.5,115.5,68.2,2324.1,3.8,230
115,울릉도,2016,13.2,-9.9,20160124,31.5,20160814,10.7,16.3,1015.6,2050.4,220.5,69.7,2121.3,4,200
115,울릉도,2017,13.1,-7,20170114,32.4,20170721,10.5,16.2,1015.1,1181.7,81.6,65.1,2406.7,3.9,200
115,울릉도,2018,13,-10.7,20180124,34.5,20180804,10.5,16,1015.7,1586.4,111,67.2,2289.9,4.1,200
115,울릉도,2019,13.7,-2.9,20190126,32.7,20190801,11.1,16.8,1015.3,1367.4,147.4,68.4,2371.6,3.9,50
