지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일조시간(hr),최심적설(cm),최심신적설(cm)
90,속초,2015-11,8.4,11.5,5.5,21.7,-3.2,20151105,20151127,1021.5,1023.8,74,463.5,2,,98.6,,
90,속초,2015-12,3,6.8,-1,10.9,-7.2,20151209,20151228,1021.1,1023.4,53,1.7,1.8,,164.9,,
90,속초,2016-01,-1.2,2.7,-5.3,11.5,-16.4,20160102,20160124,1019.7,1022,43,6.6,2.4,,191.1,,
90,속초,2016-02,.8,4.3,-3,10.3,-9.4,20160218,20160202,1019.7,1022,55,38.3,2.1,,197.6,,
90,속초,2016-03,7,11.4,2.4,21.5,-7.6,20160329,20160301,1017.9,1020.2,58,31.8,1.9,,209.6,,
90,속초,2016-04,12.6,17.8,7.6,29.3,3.6,20160422,20160411,1010.6,1012.8,66,77.5,2.3,,222.9,,
90,속초,2016-05,17.2,22.6,12.5,29,7.3,20160528,20160514,1008.1,1010.2,67,35.7,2.2,,261.1,,
90,속초,2016-06,20.6,24.3,17.5,30.5,12.6,20160617,20160602,1005.5,1007.6,82,62.2,1.8,,175.3,,
90,속초,2016-07,22.9,25.8,20.7,31.9,17,20160729,20160706,1006.2,1008.3,90,477.8,1.3,,119.2,,
90,속초,2016-08,25.5,29.3,22.1,35.9,15.3,20160813,20160829,1004,1006,82,186.9,1.6,,220.7,,
90,속초,2016-09,20.4,23.6,17.5,28.6,13.2,20160901,20160923,1012.1,1014.2,87,126,1.5,,130,,
90,속초,2016-10,15.3,19,11.5,24.2,3.3,20161017,20161030,1017,1019.1,75,128.5,1.7,,140.8,,
90,속초,2016-11,8.4,12.6,4,20.8,-2.5,20161105,20161124,1019.4,1021.6,60,40.8,1.8,,172.2,,
90,속초,2016-12,4.4,8.4,.3,14.1,-6.1,20161205,20161228,1019.9,1022.2,56,121.7,1.9,,164.8,,
90,속초,2017-01,.8,5,-3.3,11.3,-11.2,20170107,20170123,1020.2,1022.5,50,82.4,1.9,,215.4,,
90,속초,2017-02,3,7.5,-1.7,14.7,-8.2,20170216,20170210,1017.8,1020,44,3.2,2,,222.2,,
90,속초,2017-03,7,11.4,2.6,18.5,-2.8,20170318,20170308,1015.9,1018.1,57,48.7,1.9,,199.8,,
90,속초,2017-04,14.8,20.1,9.8,30.8,2.6,20170430,20170402,1008.9,1011.1,56,46.8,2.3,,255.2,,
90,속초,2017-05,18.7,23.8,13.8,34.3,9.3,20170519,20170501,1008,1010.1,62,25.2,2,,272.3,,
90,속초,2017-06,19.8,23.8,15.9,29.7,9.9,20170614,20170602,1006.2,1008.3,79,69.7,1.7,,204.7,,
90,속초,2017-07,25.6,29.1,22.5,34.9,18.9,20170721,20170705,1004.7,1006.7,81,270.3,1.2,,165.4,,
90,속초,2017-08,23.7,26.7,21.1,32.4,16.4,20170822,20170830,1006.2,1008.3,84,424.9,1.1,,107.2,,
90,속초,2017-09,20.8,25.1,16.1,28.4,13.1,20170908,20170929,1010.6,1012.7,71,50.5,1.6,,249.2,,
90,속초,2017-10,14.5,18.8,10.5,25,4,20171001,20171031,1019,1021.2,74,135.4,1.7,,157.7,,
90,속초,2017-11,7.8,12.3,2.9,20.4,-4,20171102,20171119,1017.7,1019.9,43,41.2,2.2,,218.5,,
90,속초,2017-12,.7,4.7,-3.6,11.4,-9.9,20171223,20171217,1019.9,1022.2,38,9.9,2.2,,230.3,,
90,속초,2018-01,-1.4,2.8,-5.6,11.9,-16.2,20180115,20180125,1018.5,1020.8,37,3.9,2,,214.7,,
90,속초,2018-02,-.5,3.9,-4.9,10.5,-13.2,20180214,20180206,1018.8,1021.1,43,54.4,2.1,,218.5,,
90,속초,2018-03,8,12.5,3,24.7,-6.2,20180327,20180302,1017.3,1019.5,59,55,2.2,,171.2,,
90,속초,2018-04,13,18.8,7.5,32.5,2,20180421,20180409,1012.2,1014.4,57,141.7,2.3,,227.6,,
90,속초,2018-05,15.9,20.7,11.6,29.4,4.5,20180516,20180510,1009,1011.1,75,123.6,2,,186.4,,
90,속초,2018-06,21.3,25.9,17.4,33.9,13.2,20180624,20180617,1005.3,1007.4,72,46.5,1.7,,208.8,,
90,속초,2018-07,25,28.7,22.1,35.4,14.8,20180722,20180707,1006.9,1009,82,185.4,1.6,,209.3,,
90,속초,2018-08,25.6,29.2,22.4,38.7,17.2,20180805,20180818,1005.9,1007.9,82,625,1.6,6,185.3,,
90,속초,2018-09,20,23.8,16.2,29,12.6,20180905,20180925,1011.6,1013.7,73,66.1,1.5,5.5,196.1,,
90,속초,2018-10,13.5,17.9,9,23.8,.3,20181007,20181030,1015.7,1017.9,61,257.6,1.8,3.6,229.5,,
90,속초,2018-11,9.2,13.3,5.3,19.2,-1.9,20181104,20181123,1020.1,1022.3,57,207.4,1.6,4.1,165.7,,
90,속초,2018-12,1.6,5.8,-2.4,12.7,-11.4,20181202,20181228,1022.5,1024.8,42,10.4,1.8,3.4,208,,
90,속초,2019-01,1.7,6.3,-3,12.8,-9,20190130,20190116,1020.4,1022.7,35,8.7,1.9,2.9,232.1,,
90,속초,2019-02,2.5,6.5,-1.7,15.7,-7.3,20190224,20190208,1020,1022.3,49,27.6,1.8,4,215.2,,
90,속초,2019-03,8.2,13.1,3.1,21.6,-1.4,20190319,20190314,1012.9,1015.1,51,44.4,2.1,4.3,233.1,,
90,속초,2019-04,11.9,16.6,6.9,25.9,1.3,20190417,20190411,1011.9,1014.1,55,80.9,2.1,5.1,230.5,,
90,속초,2019-05,19.8,25,14.7,34.2,6.5,20190525,20190506,1007.6,1009.7,52,5.7,2.2,4,296.2,,
90,속초,2019-06,20,24.1,16.6,30.2,11.5,20190603,20190612,1005.1,1007.2,78,97.8,1.8,5.5,224.8,,
90,속초,2019-07,24.7,28,21.8,36.1,17.7,20190723,20190708,1004,1006,80,234.4,1.7,6.4,196,,
90,속초,2019-08,25.7,29.4,22.7,35.6,19.3,20190801,20190831,1004.7,1006.7,78,293.5,1.7,5.4,230.7,,
90,속초,2019-09,20.9,24.7,17.5,32.3,11.6,20190907,20190923,1013.6,1015.6,79,209.9,1.5,6.7,145.2,,
90,속초,2019-10,16.1,20,12.1,25,6.5,20191001,20191030,1016.7,1018.8,68,185.5,1.9,5.4,157.7,,
90,속초,2019-11,9.4,13.9,5.2,21.1,-1.2,20191105,20191120,1018.9,1021.1,57,157.3,1.8,4.4,186.9,,
93,북춘천,2016-10,14.1,20.9,8.6,29,-1.9,20161003,20161030,1008.2,1019.2,74,112.1,.9,5.4,185.3,,
93,북춘천,2016-11,5.1,11.2,-.5,19.5,-9.1,20161119,20161124,1011.4,1023.2,71,13.2,.9,4.8,147.4,.5,.5
93,북춘천,2016-12,-.2,5.3,-5,10.2,-12.1,20161205,20161216,1012.9,1025.1,74,83.1,.8,5.4,142.3,1,.5
93,북춘천,2017-01,-3.4,3.3,-9.8,11.6,-17,20170108,20170124,1013.1,1025.4,66,15.9,1.1,3.6,204.2,10.7,7.5
93,북춘천,2017-02,-1.5,5.4,-8.2,12.2,-15.7,20170228,20170202,1010.9,1023.1,64,11,1.2,3.1,214.9,8.3,0
93,북춘천,2017-03,4.6,12.2,-2.3,19,-8.3,20170319,20170308,1007.5,1019.4,59,17.9,1.3,4.3,212.4,,
93,북춘천,2017-04,13.2,21,5.6,29.1,-.8,20170430,20170403,1001.1,1012.5,55,54.1,1.9,4.4,257.3,,
93,북춘천,2017-05,18.6,26.2,11.3,30.7,6.7,20170520,20170508,1000.4,1011.5,56,25.5,1.8,4.2,280.1,,
93,북춘천,2017-06,22.3,29.6,15.8,35,9.2,20170623,20170611,997.1,1008.1,59,38.1,1.5,4.8,271.2,,
93,북춘천,2017-07,26.3,30.7,23,34.9,19.4,20170706,20170701,996.5,1007.3,78,477.8,1,7.7,126.4,,
93,북춘천,2017-08,24.4,29.6,20.5,37.5,13.9,20170805,20170831,997.1,1007.9,76,376.3,1.1,7.2,150.3,,
93,북춘천,2017-09,19.1,26.5,13,30.5,4.9,20170904,20170929,1002.4,1013.5,74,33.8,1.1,4.7,220.3,,
93,북춘천,2017-10,13.5,21,7.7,26.9,-3.7,20171008,20171031,1009.9,1021.4,74,42.6,1.1,5,196.9,,
